Tweet date,Tweet
2021-06-07 15:51:02,b'Something \xe2\x81\xa6@BernieSanders\xe2\x81\xa9 \xe2\x81\xa6@SenWarren\xe2\x81\xa9 should keep an eye on as ongoing corruption from the Trump/Clayton SEC cont\xe2\x80\xa6 https://t.co/l45yGZVQ1B'
2021-06-07 15:49:46,b'Gas used in currently pending transactions:\n\n\xf0\x9f\x9a\x80 15 seconds &gt;&gt;&gt;&gt; 22 Gwei\n\xf0\x9f\x9a\x97 1 minute  &gt;&gt;&gt;&gt;&gt; 17 Gwei\n\xf0\x9f\x90\x8c 3 minutes &gt;&gt;&gt;&gt;&gt;\xe2\x80\xa6 https://t.co/m1WXnzEeNr'
2021-06-07 15:49:40,"b'Burn Protocol Pre-Sale WhiteList is Open Now. Burn Protocol - Earn BNB, ETH &amp; MATIC just by Holding \n\n@HamariGomen\xe2\x80\xa6 https://t.co/lnfnpEJZ24'"
2021-06-07 15:49:27,b'Very #Bullish AMA hosted by @LBank_Exchange with @hokkaiduinu supremo @MikeOnassis!!\nThe $Hokk project is receiving\xe2\x80\xa6 https://t.co/3IUSE3E3zQ'
2021-06-07 15:49:13,b'Very good project\n#cryptocurrency #Crypto #Bitcoin #Ethereum #ETH #Airdrop #bounty #Piratedoge  #PDOGET https://t.co/eYxzgfTIAv'
2021-06-07 15:48:46,b'The account is sponsored by #Maanky \xf0\x9f\x90\xb5\n#BTC #Bitcoin #ETH #FOREX\nEuropean equity close: Higher to start the week\nhttps://t.co/Jvi9TCGXTJ'
2021-06-07 15:47:42,"b'Shibaswap is ready, its in the last phase of the audit. This is a lifetime opportunity to get into shibs before its\xe2\x80\xa6 https://t.co/lT7JOqAv3z'"
2021-06-07 15:47:31,b'\xf0\x9f\x91\x82\xf0\x9f\x8d\xaeHow does the Void look and sound like?\nhttps://t.co/2WTUtPyOmS\n#NFT #NFTCommunity #NFTs #NFTartist #nftcollector\xe2\x80\xa6 https://t.co/TBjrUIAWT6'
2021-06-07 15:47:12,b'Thank you for the opportunity to be a part of this @GEffiong22 @willo_patrick @id\n $RSWAP #MATIC #ETH #layer2\xe2\x80\xa6 https://t.co/5zyfRruZsE'
2021-06-07 15:47:09,"b'Lunch Time Update :#BTC still ranging tighter and tighter on the daily. Tic-tok, tic-tok...Which way will we go? NO\xe2\x80\xa6 https://t.co/Uz9IhL0Qds'"
2021-06-07 15:47:07,"b""Thoughts on $ETH #ETH! See masoudra22's idea on TradingView below. https://t.co/f1h6rUyeh4 Trade it here: https://t.co/haK6TQGbkx"""
2021-06-07 15:46:09,b'New YouTube Video: https://t.co/Hp2WB1AJzl    #bitcoin #btc #btcusd #btcusdt #ethereum #eth #ETHUSD #crypto\xe2\x80\xa6 https://t.co/wYs4Gktkxu'
2021-06-07 15:45:51,b'Very good exchange!!! I offer anyone to join this:\n@alibaram8\n@hoseini_sobhan \n@alimila53316380\n#airdrop #ladz #eth\xe2\x80\xa6 https://t.co/0DZOUQIi9a'
2021-06-07 15:45:40,b'Or control the media or politians or get a free pass from @SEC_News #BTC #ETH\n\nWHERE ARE THE DOCUMENTS? \xf0\x9f\x98\x82 https://t.co/FVPI0lbJLd'
2021-06-07 15:45:27,"b""#BTC dominance down to 39.4%\n#ETH dominance up to 18.9%\n\nIt's getting interesting."""
2021-06-07 15:45:24,"b'The best thing about #BabyDoge ?\n\nIf you sell, you need AT LEAST a 24% drop before you can get back in for the same\xe2\x80\xa6 https://t.co/UAPHmvrFyB'"
2021-06-07 15:45:18,"b'Good project looks very interesting. I am interested, and I will support this project until it is successful accord\xe2\x80\xa6 https://t.co/zTQIrq9cWQ'"
2021-06-07 15:45:02,b'i am NOT an #NFT collector i have no #ETH to spend do not under any circumstances #shill your #NFTs down below'
2021-06-07 15:44:59,"b""#ETH from $900 to $10K isn't bad at all. https://t.co/dIUYGt51SS"""
2021-06-07 15:44:59,b'Finishing up a few things\xf0\x9f\x98\x8aI know you have enough to choose from. But just in case\xf0\x9f\x98\x8a1-100 are usually around .01 &amp;.02\xe2\x80\xa6 https://t.co/PostOS8yqg'
2021-06-07 15:44:54,b'LAVA artwork by \n@UC\n \n@withFND\n\nhttps://t.co/FZh2Qp0jfn \n#SURREALISM  #eth #bitcointrading #NFTs #nftart\xe2\x80\xa6 https://t.co/4wcegQywL8'
2021-06-07 15:44:53,b'UCOSToken\n\n#blockchain #cryptocurrency #tokens #BNB #bsc #bep20 #coinsbit #crypto #BTC #eth \n\nFollow us on our othe\xe2\x80\xa6 https://t.co/YWIcnNELX2'
2021-06-07 15:44:42,"b'SolPad Finance\n\n\xf0\x9f\x94\xb8Low Cap Gem at $1.2m , price now $0.025\n\xf0\x9f\x94\xb8Big investors : @NGC_Ventures @ZBScapital @AU21Capital\n\xf0\x9f\x94\xb8B\xe2\x80\xa6 https://t.co/1c6drcAS2F'"
2021-06-07 15:44:05,"b""This is the only reason why I wish I had more followers, pls answer the pool I'm bored\xf0\x9f\x91\x87 \n\nWhat is most likely for t\xe2\x80\xa6 https://t.co/4qomv748iV"""
2021-06-07 15:43:47,b'Cooking up something awesome with @tomhandy1 \n\n#Crypto #Bitcoin #TRON #Binance #ETH #Zilliqa #Celo #Litecoin #Dash #CRO'
2021-06-07 15:43:47,b'\xf0\x9f\x99\x84obviously because @SAFEMOON we are actually solving real problems for the average person\xe2\x9d\xa3\xef\xb8\x8f\n\n#SAFEMOONWALLET will s\xe2\x80\xa6 https://t.co/UBUNMSGvXT'
2021-06-07 15:43:27,b'Trying to experiment with different backgrounds! Love how both of these turned out!\n\n#nft #NFTs #CleanNFT #art\xe2\x80\xa6 https://t.co/F0NtJ9Vdrn'
2021-06-07 15:42:58,b'Nimiq $NIM could be listed on Binance soon.\n\n(:\n\nDo your own research :)\n\n#bitcoin #btc #eth #doge #ada #matic'
2021-06-07 15:42:58,"b'As a #Quiver Investor, you have the option to select your favourite creature to mint at https://t.co/Vn3U8o4ckI\nIf\xe2\x80\xa6 https://t.co/W7cDPpcczB'"
2021-06-07 15:42:52,"b'Unique, modern, win-win trading strategies,\ndeveloped directly by the traders of the company\n\nhttps://t.co/DpJaSzjxB0 \n\n#btc #eth\n#Walton'"
2021-06-07 15:42:42,b'Thanks for the mention! Kanhaiy27436814: @GettiBet_BSC very good project\n\n0x453e6FCD655262a319F86A224b564d336B47548\xe2\x80\xa6 https://t.co/qU8wvfdYDu'
2021-06-07 15:42:40,b'\xf0\x9f\x94\x84 Prices update in $EUR (1 hour):\n\n$BTC \xf0\x9f\x9f\xa2 - 29625  \xe2\x82\xac   (+0.33 %)\n$ETH \xf0\x9f\x9f\xa2 - 2288.51  \xe2\x82\xac (+0.9 %)\n$DOT \xf0\x9f\x9f\xa2 - 20.28  \xe2\x82\xac   (\xe2\x80\xa6 https://t.co/4LNyr9bXwi'
2021-06-07 15:42:28,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC \xf0\x9f\x9f\xa2 - 36091.8 $  (+0.36 %)\n$ETH \xf0\x9f\x9f\xa2 - 2786.37 $  (+0.7 %)\n$DOT \xf0\x9f\x9f\xa2 - 24.71 $    (\xe2\x80\xa6 https://t.co/h2nFEnMn8s'
2021-06-07 15:42:24,"b""Don't forget!!! It's time to #VeChain ...#VET is gonna blow!!\n#bitcoin #dogecoin #doge #eth #ethereum #Ada #Matic #sushi"""
2021-06-07 15:42:18,b'Red wave in #crypto land with a blue island called #matic. \n\n#btc #eth #doge #xrp #ltc  #neo #bch #luna https://t.co/OIJXd6FO2T'
2021-06-07 15:41:10,b'Bitcoin Adoption: Why Paraguay Could Follow In El Salvador\xe2\x80\x99s Footsteps#btc #eth #doge #bnb #crypto #xrp #ada #dot\xe2\x80\xa6 https://t.co/OoDoWmSCJw'
2021-06-07 15:41:07,b'$LNCHX 4hr is sexy \xf0\x9f\x9a\x80\n\n#PancakeSwap  #BTC #ETH  #dogecoin  #doge  #AMC $doge  #bnb #BSCGem #BinanceSmartChain $polx\xe2\x80\xa6 https://t.co/qRgoFd6w1S'
2021-06-07 15:40:59,"b""Do you know https://t.co/aiHiGO1zM0? \n\nIt's the Micro blog build on Blockchain technology! \nIt's privacy focused, c\xe2\x80\xa6 https://t.co/RKD02JND5q"""
2021-06-07 15:40:30,"b'RANDOM RENDER #1\n""DEAD TO ME""\navailable now on OpenSea! Have a look here: https://t.co/pdpBFCRy6Z\n\nAny feedback is\xe2\x80\xa6 https://t.co/zQUeuwOauy'"
2021-06-07 15:40:25,"b'Membalas \n@layer1crypto\nGreat project, I hope to be a part of this project. I will share about this project with ot\xe2\x80\xa6 https://t.co/FgWIEdG6TH'"
2021-06-07 15:39:47,b'All About #ApeSwap BUIDL Program\n\n\xf0\x9f\xa4\xab Join Publish0x to find out &amp; get free #Crypto\nhttps://t.co/u8VtNxKzpa\n\n$YOOSHI\xe2\x80\xa6 https://t.co/UOXCxlKIl5'
2021-06-07 15:39:20,"b'#BTC #ETH #DOGE  are the future. We are going to pump the next crypto soon. announcement on telegram, channel link in desc'"
2021-06-07 15:38:54,"b""While this sideways action is happening, it's a great time 2 accumulate!\nIf U want your favorite crypto immediately\xe2\x80\xa6 https://t.co/KGxxEbHxfP"""
2021-06-07 15:38:40,"b""How did you get into Crypto?\n\nHere's how I got in\xf0\x9f\xa4\xad\n\n#cryptosmart\n#cryptocurrency #cryptocurrencies #CryptoNews\xe2\x80\xa6 https://t.co/Buue5i7UXZ"""
